Gene,40 S 3hrs,40 S 24hrs,40 S 48hrs,40 S 72hrs,40 T 3hrs,40 T 24hrs,40 T 48hrs,40 T 72hrs,41 S 24hrs,41 S 48hrs,41 S 72hrs,96 S 3hrs,96 S 24hrs,96 S 48hrs,96 S 72hrs,96 T 3hrs,96 T 24hrs,96 T 48hrs,96 T 72hrs
ACVR2B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ACYP1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACYP2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM12,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
ADAM15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ADAM17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
ADAM8,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1
ADAM9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ADAMTS1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1
ADAMTS13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS15,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
ADAMTS6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
ADAMTS7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTSL5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ADAP1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ADAP2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
ADAR,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAT2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ADCK5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ADCY3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ADCY6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCY7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ADCY9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ADD1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ADD2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ADD3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ADGRA3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ADGRE5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADGRF1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1
ADGRF4,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
ADGRG1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
ADGRG6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ADGRL1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
